ateco,descrizione,cardinalita
84.11.10,"Pubblica Amministrazione",18
62.01,"Produzione di software non connesso all'edizione",10
62.02.00,"Consulenza informatica",5
72.19.09,"Ricerca e sviluppo sperimentale (scienze naturali e ingegneria)",4
85.42.00,"Istruzione universitaria, accademie e conservatori",3
