ateco,descrizione,cardinalita
84.11.10,"Pubblica Amministrazione",21
72.1,"Ricerca e sviluppo sperimentale (Scienze naturali e ingegneria)",20
62.01,"Produzione di software non connesso all'edizione",11
82.20,"Attività dei call center",9
25.62,"Lavori di meccanica generale",5
