ateco,descrizione,cardinalita
84.11.10,"Pubblica Amministrazione",13
70.22.09,"Consulenza imprenditoriale e pianificazione aziendale",8
64.99.60,"Altre intermediazioni finanziarie",8
62.02.00,"Consulenza informatica",4
62.01.00,"Produzione di software non connesso all'edizione",4
28.99.99,"Fabbricazione di macchine ed attrezzature per impieghi speciali",4
