ateco,descrizione,cardinalita
84.11.10,"Pubblica Amministrazione",37
85.42.00,"Istruzione universitaria, accademie e conservatori",10
62.01.00,"Produzione di software non connesso all'edizione",9
72.11,"Ricerca e sviluppo sperimentale (biotecnologie)",4
72.19.09,"Ricerca e sviluppo sperimentale (scienze naturali e dell'ingegneria)",4
