ateco,descrizione,cardinalita
84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",38
62.01.00,"Produzione di software non connesso all'edizione",20
62.01,"Produzione di software non connesso all'edizione",17
62.09.09,"Altre attivit dei servizi connessi alle tecnologie dell'informatica nca",12
85.42.00,"Istruzione universitaria e post-universitaria; accademie e conservatori",10
26.20,"Fabbricazione di computer e unità periferiche",9
