ateco,descrizione,cardinalita
84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",57
62.01.00,"Produzione di software non connesso all'edizione",20
62.09.09,"Altre attivit dei servizi connessi alle tecnologie dell'informatica nca",9
85.42.00,"Istruzione universitaria e post-universitaria; accademie e conservatori",9
72.19.09,"Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria",7
82.99.99,"Altri servizi di sostegno alle imprese nca",6
