ateco,descrizione,cardinalita
84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",69
62.01.00,"Produzione di software non connesso all'edizione",27
64.99.60,"Altre intermediazioni finanziarie nca",25
62.09.09,"Altre attivit dei servizi connessi alle tecnologie dell'informatica nca",14
62.02.00,"Consulenza nel settore delle tecnologie dell'informatica",9
62.01,"Produzione di software non connesso all'edizione",8
