ateco,descrizione,cardinalita
62.01.00,"Produzione di software non connesso all'edizione",14
84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",5
62.02.00,"Consulenza nel settore delle tecnologie dell'informatica",4
61.90.10,"Erogazione di servizi di accesso ad internet (ISP)",4
64.99.60,"Altre intermediazioni finanziarie nca",3
61.10.00,"Telecomunicazioni fisse",2
74.10.21,"Attivit dei disegnatori grafici di pagine web",2
14.13.10,"Confezione in serie di abbigliamento esterno",2
85.42.00,"Istruzione universitaria e post-universitaria; accademie e conservatori",2
26.30.29,"Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni",2
26.20.00,"Fabbricazione di computer e unit periferiche",2
26.11.09,"Fabbricazione di altri componenti elettronici",2
46.45.00,"Commercio all'ingrosso di profumi e cosmetici",2
26.11.01,"Fabbricazione di diodi, transistor e relativi congegni elettronici",1
82.99.99,"Altri servizi di sostegno alle imprese nca",1
