84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",5
55.30.00,Aree di campeggio e aree attrezzate per camper e roulotte,2
62.01,Produzione di software non connesso all'edizione,2
63.11.30,Hosting e fornitura di servizi applicativi (ASP),2
