84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",40
62.01.00,Produzione di software non connesso all'edizione,10
85.42.00,Istruzione universitaria e post-universitaria; accademie e conservatori,10
62.02.00,Consulenza nel settore delle tecnologie dell'informatica,5
72.11,Ricerca e sviluppo sperimentale nel campo delle biotecnologie,4
72.19.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,4
82.99.99,Altri servizi di sostegno alle imprese nca,4
21.20.09,Fabbricazione di medicinali ed altri preparati farmaceutici,3
62.02,Consulenza nel settore delle tecnologie dell'informatica,3
86.90.12,Laboratori di analisi cliniche,3
28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,2
52.29.22,Servizi logistici relativi alla distribuzione delle merci,2
62.09.09,Altre attivit dei servizi connessi alle tecnologie dell'informatica nca,2
70.22.09,Altre attivit di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,2
28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori),1
62.09.01,Configurazione di personal computer,1
64.99.60,Altre intermediazioni finanziarie nca,1
