62.01.00,Produzione di software non connesso all'edizione,11
61.90.10,Erogazione di servizi di accesso ad internet (ISP),4
62.02.00,Consulenza nel settore delle tecnologie dell'informatica,3
14.13.10,Confezione in serie di abbigliamento esterno,2
26.11.09,Fabbricazione di altri componenti elettronici,2
26.20.00,Fabbricazione di computer e unit periferiche,2
46.45.00,Commercio all'ingrosso di profumi e cosmetici,2
61.10.00,Telecomunicazioni fisse,2
74.10.21,Attivit dei disegnatori grafici di pagine web,2
84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",2
64.99.60,Altre intermediazioni finanziarie nca,1
82.99.99,Altri servizi di sostegno alle imprese nca,1
85.42.00,Istruzione universitaria e post-universitaria; accademie e conservatori,1
