84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",17
62.01.00,Produzione di software non connesso all'edizione,5
62.02.00,Consulenza nel settore delle tecnologie dell'informatica,5
72.19.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,4
17.22,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa,3
18.12,Altra stampa,3
62.01,Produzione di software non connesso all'edizione,3
72,RICERCA SCIENTIFICA E SVILUPPO,3
85.42.00,Istruzione universitaria e post-universitaria; accademie e conservatori,3
10.89.09,Produzione di altri prodotti alimentari nca,2
13.10.00,Preparazione e filatura di fibre tessili,2
13.92.10,"Confezionamento di biancheria da letto, da tavola e per l'arredamento",2
23.63.00,Produzione di calcestruzzo pronto per l'uso,2
41.20.00,Costruzione di edifici residenziali e non residenziali,2
43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione),2
49.32.20,Trasporto mediante noleggio di autovetture da rimessa con conducente,2
55.30.00,Aree di campeggio e aree attrezzate per camper e roulotte,2
63.11.11,Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf),2
72.11.00,Ricerca e sviluppo sperimentale nel campo delle biotecnologie,1
82.99.99,Altri servizi di sostegno alle imprese nca,1
86.10.20,Ospedali e case di cura specialistici,1
94.99.20,"Attivit di organizzazioni che perseguono fini culturali, ricreativi e la coltivazione di hobby",1
