84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",3
27.12.00,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricit,2
33.12,Riparazione e manutenzione di macchinari,2
70.22.09,Altre attivit di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,2
72.19.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,2
94,ATTIVIT DI ORGANIZZAZIONI ASSOCIATIVE,2
