84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",74
62.01.00,Produzione di software non connesso all'edizione,30
64.99.60,Altre intermediazioni finanziarie nca,27
62.09.09,Altre attivit dei servizi connessi alle tecnologie dell'informatica nca,15
62.01,Produzione di software non connesso all'edizione,10
62.02.00,Consulenza nel settore delle tecnologie dell'informatica,8
63.11.11,Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf),7
25.62,Lavori di meccanica generale,5
26.12.00,Fabbricazione di schede elettroniche assemblate,4
28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori),4
28.22.09,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione,4
46.51.00,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",4
70.22.09,Altre attivit di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,4
82.99.99,Altri servizi di sostegno alle imprese nca,4
22.19.09,Fabbricazione di altri prodotti in gomma nca,3
26.11.09,Fabbricazione di altri componenti elettronici,2
26.40.01,Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini,2
26.7,FABBRICAZIONE DI STRUMENTI OTTICI E ATTREZZATURE FOTOGRAFICHE,2
28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,2
28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca,2
28.99.92,"Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento",2
29.20.00,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",2
32.12.10,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi,2
33.15.00,Riparazione e manutenzione di navi commerciali e imbarcazioni da diporto (esclusi i loro motori),2
33.20.03,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)",2
43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione),2
46.18.11,Agenti e rappresentanti di carta e cartone (esclusi gli imballaggi); articoli di cartoleria e cancelleria,2
46.41.20,"Commercio all'ingrosso di articoli di merceria, filati e passamaneria",2
46.48.00,Commercio all'ingrosso di orologi e di gioielleria,2
13.95.00,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),2
47.64.10,"Commercio al dettaglio di articoli sportivi, biciclette e articoli per il tempo libero",2
47.78.31,Commercio al dettaglio di oggetti d'arte (incluse le gallerie d'arte),2
56.10.11,Ristorazione con somministrazione,2
61.90.10,Erogazione di servizi di accesso ad internet (ISP),2
61.90.99,Altre attivit connesse alle telecomunicazioni nca,2
43,LAVORI DI COSTRUZIONE SPECIALIZZATI,2
62.02,Consulenza nel settore delle tecnologie dell'informatica,2
62.09.01,Configurazione di personal computer,2
13.96.20,Fabbricazione di altri articoli tessili tecnici ed industriali,2
16.22.00,Fabbricazione di pavimenti in parquet assemblato,2
63.99.00,Altre attivit dei servizi di informazione nca,2
17.23.09,Fabbricazione di altri prodotti cartotecnici,2
65.1,ASSICURAZIONI,2
66.19.22,"Agenti, mediatori e procacciatori in prodotti finanziari",2
68.20.01,Locazione immobiliare di beni propri o in leasing (affitto),2
20.30.00,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)",2
71.12.40,Attivit di cartografia e aerofotogrammetria,2
72.19.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,2
73.11.01,Ideazione di campagne pubblicitarie,2
73.11.02,Conduzione di campagne di marketing e altri servizi pubblicitari,2
74,"ALTRE ATTIVIT PROFESSIONALI, SCIENTIFICHE E TECNICHE",2
74.90.93,Altre attivit di consulenza tecnica nca,2
25.11,Fabbricazione di strutture metalliche e di parti di strutture,2
25.62.00,Lavori di meccanica generale,2
86.90.21,Fisioterapia,2
88.99.00,Altre attivit di assistenza sociale non residenziale nca,2
43.99.09,Altre attivit di lavori specializzati di costruzione nca,1
63.11.30,Hosting e fornitura di servizi applicativi (ASP),1
43.21.02,Installazione di impianti elettronici (inclusa manutenzione e riparazione),1
