84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",17
64.99.60,Altre intermediazioni finanziarie nca,8
70.22.09,Altre attivit di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,8
28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori),4
62.01.00,Produzione di software non connesso all'edizione,4
62.02.00,Consulenza nel settore delle tecnologie dell'informatica,4
62.09.09,Altre attivit dei servizi connessi alle tecnologie dell'informatica nca,4
22.23.02,"Fabbricazione di porte, finestre, intelaiature eccetera in plastica per l'edilizia",2
23.63.00,Produzione di calcestruzzo pronto per l'uso,2
25.99.99,Fabbricazione di altri articoli metallici e minuteria metallica nca,2
26.20.00,Fabbricazione di computer e unit periferiche,2
27.90.09,Fabbricazione di altre apparecchiature elettriche nca,2
28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,2
28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca,2
28.99.92,"Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento",2
30.12.00,Costruzione di imbarcazioni da diporto e sportive,2
33.12,Riparazione e manutenzione di macchinari,2
42.11.00,"Costruzione di strade, autostrade e piste aeroportuali",2
43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione),2
62.02,Consulenza nel settore delle tecnologie dell'informatica,2
63.11.20,Gestione database (attivit delle banche dati),2
71.12.50,Attivit di studio geologico e di prospezione geognostica e mineraria,2
71.20.10,Collaudi e analisi tecniche di prodotti,2
79.11.00,Attivit delle agenzie di viaggio,2
81.30.00,"Cura e manutenzione del paesaggio (inclusi parchi, giardini e aiuole)",2
82.99.99,Altri servizi di sostegno alle imprese nca,2
