62.01,Produzione di software non connesso all'edizione,4
84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",4
62.01.00,Produzione di software non connesso all'edizione,3
64.99.60,Altre intermediazioni finanziarie nca,3
26.12,Fabbricazione di schede elettroniche assemblate,2
26.30.10,Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere),2
27.90.09,Fabbricazione di altre apparecchiature elettriche nca,2
28.25.00,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi,2
28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca,2
31.01.21,Fabbricazione di altri mobili metallici per ufficio e negozi,2
41.20.00,Costruzione di edifici residenziali e non residenziali,2
43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione),2
43.22.01,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione",2
62.02,Consulenza nel settore delle tecnologie dell'informatica,2
62.03.00,Gestione di strutture e apparecchiature informatiche hardware - housing (esclusa la riparazione),2
63.11.20,Gestione database (attivit delle banche dati),2
72.1,RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA,2
74.90.21,Consulenza sulla sicurezza ed igiene dei posti di lavoro,2
85.42,Istruzione universitaria e post-universitaria; accademie e conservatori,2
82.99.99,Altri servizi di sostegno alle imprese nca,1
85.42.00,Istruzione universitaria e post-universitaria; accademie e conservatori,1
