ateco,descrizione,cardinalita
84.11.10,"Pubblica amministrazione",64
62.01.00,"Produzione di software",26
62.09.09,"Servizi connessi alle tecnologie dell'informatica",11
85.42.00,"Istruzione universitaria, accademie e conservatori",11
72.19.09,"Ricerca e sviluppo - Scienze naturali e Ingegneria",10
62.02.00,"Consulenza nel settore delle tecnologie dell'informatica",9
82.99.99,"Altri servizi di sostegno alle imprese",9
08.12,"Estrazione di ghiaia e sabbia, estrazione di argille e caolino",6
70.22.09,"Attivitàdi consulenza imprenditoriale e pianificazione aziendale",6
71.12.20,"Servizi di progettazione di ingegneria integrata",4
64.99.60,"Altre intermediazioni finanziarie",4
