ateco,descrizione,cardinalita
84.11.10,"Pubblica amministrazione",25
62.01.00,"Produzione di software",13
85.42.00,"Istruzione universitaria, accademie e conservatori",6
70.22.09,"Attività di consulenza imprenditoriale e pianificazione aziendale",4
63.11.11,"Elaborazione elettronica di dati contabili",4
72.19.09,"Ricerca e sviluppo - Scienze naturali e Ingegneria",3
72.11,"Ricerca e sviluppo sperimentale nel campo delle biotecnologie",3
17.22,"Fabbricazione di prodotti igienico-sanitari",3
18.12,"Altra stampa",3
25.99.99,"Fabbricazione di altri articoli metallici e minuteria metallica nca",2
