ateco,descrizione,cardinalita
84.11.10,"Pubblica amministrazione",37
62.01.00,"Produzione di software",42
72.19.09,"Ricerca e sviluppo - Scienze naturali e Ingegneria",23
62.09.09,"Servizi connessi alle tecnologie dell'informatica",10
85.42.00,"Istruzione universitaria, accademie e conservatori",10
53.10,"Attività postali con obbligo di servizio universale",9
26.20,"Fabbricazione di computer e unità periferiche",9
82.99.99,"Altri servizi di sostegno alle imprese",8
82.20,"Attività dei call center",6
