ateco,descrizione,cardinalita
84.11.10,"Pubblica amministrazione",82
64.99.60,"Altre intermediazioni finanziarie",41
62.01.00,"Produzione di software",33
62.09.09,"Servizi connessi alle tecnologie dell'informatica",17
62.02.00,"Consulenza nel settore delle tecnologie dell'informatica",15
70.22.09,"Attività di consulenza imprenditoriale e pianificazione aziendale",14
63.11.11,"Elaborazione elettronica di dati contabili",7
69.20.11,"Servizi forniti da dottori commercialisti",5
62.09.01,"Configurazione di personal computer",4
26.12.00,"Fabbricazione di schede elettroniche assemblate",4
