ateco,descrizione,cardinalita

82.99.99,"Altri servizi di sostegno alle imprese nca",8
63.11.11,"Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf)",7
26.20,"Fabbricazione di computer e unità periferiche",6
53.10,"Attività postali con obbligo di servizio universale",6
62.02,"Consulenza nel settore delle tecnologie dell'informatica",5
71.12.20,"Servizi di progettazione di ingegneria integrata",5
71.12.10,"Attivit degli studi di ingegneria",5
85.42.00,"Istruzione universitaria e post-universitaria; accademie e conservatori",5
